spec_list
acer pseudoplatanus (g)
achillea millefolium
agrimonia eupatoria
agrostis capillaris
agrostis stolonifera
anagallis arvensis
anthoxanthum odoratum
arenaria serpyllifolia
arrhenatherum elatius
asperula cynanchica
barbula convoluta
bellis perennis
brachypodium pinnatum s.l.
brachypodium sylvaticum
brachythecium rutabulum
briza media
bromopsis erecta
bromus
bromus hordeaceus subsp. hordeaceus
bryum
calliergonella cuspidata
calluna vulgaris
carex caryophyllea
carex flacca
carex nigra
carex pilulifera
carlina vulgaris
centaurea nigra
centaurium erythraea
cerastium fontanum
ceratodon purpureus
cirsium acaule
cirsium arvense
cirsium palustre
cirsium vulgare
clematis vitalba
clinopodium vulgare
cornus sanguinea (g)
crataegus monogyna (g)
crepis capillaris
cynoglossum officinale
cynosurus cristatus
dactylis glomerata
danthonia decumbens
dicranum scoparium
dryopteris dilatata
epilobium montanum
erica cinerea
eupatorium cannabinum
euphrasia
festuca ovina
festuca rubra
filipendula vulgaris
fissidens dubius
fragaria vesca
fraxinus excelsior (g)
galium aparine
galium saxatile
galium verum
gentianella amarella
geranium molle
geranium robertianum
geum urbanum
glechoma hederacea
hedera helix (g)
helictotrichon pratense
hippocrepis comosa
holcus lanatus
homalothecium lutescens
hypericum humifusum
hypericum perforatum
hypericum pulchrum
hypnum
hypochaeris radicata
kindbergia praelonga
koeleria macrantha
leontodon autumnalis
leontodon hispidus
ligustrum vulgare (g)
linum catharticum
lonicera periclymenum (g)
lotus corniculatus
luzula campestris
medicago lupulina
melilotus
moehringia trinervia
mycelis muralis
odontites vernus
pastinaca sativa
phleum bertolonii
pilosella officinarum (hieracium)
pimpinella saxifraga
plantago lanceolata
plantago major
poa pratensis s.str.
pohlia nutans
polygala vulgaris
potentilla anserina
potentilla erecta
potentilla reptans
potentilla sterilis
prunella vulgaris
prunus spinosa (g)
pseudoscleropodium purum
pteridium aquilinum
pulicaria dysenterica
ranunculus acris
ranunculus bulbosus
ranunculus repens
reseda luteola
rosa
rosa canina agg.
rosa seedling
rubus caesius
rubus fruticosus agg.
rumex acetosa
rumex acetosella
rumex crispus
sagina procumbens
sambucus nigra (g)
sanguisorba minor
sedum acre
senecio erucifolius
senecio jacobaea
solanum dulcamara (g)
sonchus oleraceus
stachys officinalis
stellaria graminea
stellaria media
succisa pratensis
taraxacum sect. ruderalia
teucrium scorodonia
thymus polytrichus
torilis japonica
trifolium campestre
trifolium pratense
trifolium repens
ulex europaeus (g)
urtica dioica
verbascum thapsus
veronica chamaedrys
veronica officinalis
veronica serpyllifolia subsp. serpyllifolia
viburnum lantana (g)
viola hirta
viola riviniana
agrostis canina
aira praecox
anisantha sterilis
arctium minus agg.
blackstonia perfoliata
bryonia dioica
chamerion angustifolium
crataegus monogyna (c)
dryopteris filix-mas
epilobium ciliatum
epilobium parviflorum
euphrasia officinalis agg.
fissidens
geranium dissectum
helictotrichon pubescens
hypnum cupressiforme
lolium perenne
luzula multiflora
malus sylvestris (seedling)
myosotis arvensis
myosotis discolor
poa
poa annua
poa trivialis
polygala serpyllifolia
prunus padus (g)
prunus spinosa (s)
reseda lutea
rhizomnium punctatum
rhytidiadelphus squarrosus
rosa arvensis
rosa spinosissima
sherardia arvensis
sonchus asper
taraxacum agg.
thymus pulegioides
trifolium dubium
ulex europaeus (s)
veronica serpyllifolia sl.
vulpia bromoides
agrimonia
brachythecium
bromopsis ramosa
centaurea
cladonia furcata
crepis vesicaria
cruciata laevipes
cynoglossum
daucus carota
deschampsia flexuosa
euonymus europaeus (g)
galium mollugo
galium mollugo subsp. erectum
heracleum sphondylium
hypericum hirsutum
hypochaeris glabra
leucanthemum vulgare
linaria vulgaris
phleum
pilosella officinarum (hieracium)
plagiomnium affine
plagiomnium undulatum
poterium sanguisorba
prunus domestica
quercus robur (g)
rubus fruticosus agg. (g)
scabiosa columbaria
scorzoneroides autumnalis
silene dioica
taraxacum
tragopogon pratensis
trifolium hybridum
trifolium seedling
trisetum flavescens
veronica montana
vicia sativa
